07.09.2015 22:45;08.09.2015 06:13;84%;07:27;:);Drank coffee:Drank tea;61;0
08.09.2015 22:03;09.09.2015 06:04;86%;08:01;:);Drank tea:Worked out;;0
09.09.2015 22:40;10.09.2015 06:10;83%;07:29;:);Drank coffee:Drank tea:Worked out;;0
10.09.2015 22:10;11.09.2015 04:57;77%;06:46;:);Drank coffee:Drank tea:Worked out;;0
12.09.2015 00:06;12.09.2015 07:41;81%;07:35;:);Drank coffee:Worked out;;0
13.09.2015 22:03;14.09.2015 05:50;81%;07:47;:);Drank coffee;;0
14.09.2015 22:33;15.09.2015 06:30;83%;07:56;:);Drank coffee:Stressful day:Worked out;;0
15.09.2015 22:14;16.09.2015 05:55;70%;07:40;:);Drank coffee:Worked out;;0
16.09.2015 21:59;17.09.2015 06:20;80%;08:20;:);Drank coffee:Drank tea:Worked out;59;0
17.09.2015 22:57;18.09.2015 06:20;60%;07:22;:);Drank coffee:Drank tea:Worked out;56;0
19.09.2015 00:31;19.09.2015 06:55;55%;06:23;:);Drank coffee;;0
19.09.2015 22:01;20.09.2015 06:48;91%;08:47;:);Drank coffee;;0
20.09.2015 22:07;21.09.2015 06:15;79%;08:08;:);Drank coffee:Drank tea:Worked out;55;0
22.09.2015 21:34;23.09.2015 06:15;81%;08:41;:);Drank coffee:Drank tea:Worked out;58;0
23.09.2015 21:37;24.09.2015 05:07;77%;07:29;:);Drank coffee:Drank tea:Worked out;49;0
24.09.2015 22:37;25.09.2015 06:00;83%;07:22;:);Ate late:Drank coffee:Drank tea:Worked out;;0
27.09.2015 22:57;28.09.2015 07:00;82%;08:02;:);Drank tea;61;0
28.09.2015 21:12;29.09.2015 05:15;90%;08:02;:);Drank tea:Worked out;60;0
29.09.2015 22:54;30.09.2015 06:20;89%;07:25;:);Ate late:Drank coffee:Drank tea:Worked out;58;0
30.09.2015 23:57;01.10.2015 06:14;62%;06:16;:);Drank coffee:Drank tea:Worked out;55;0
03.10.2015 00:09;03.10.2015 07:26;69%;07:17;:);Drank coffee:Worked out;57;0
11.10.2015 00:27;11.10.2015 08:58;100%;08:31;:);Drank coffee:Stressful day;50;0
12.10.2015 21:59;13.10.2015 06:00;74%;08:01;:);Ate late:Drank coffee:Drank tea:Worked out;;0
13.10.2015 22:19;14.10.2015 04:59;59%;06:40;:);Drank coffee:Worked out;;0
14.10.2015 05:00;14.10.2015 06:00;13%;01:00;:);;;0
14.10.2015 22:40;15.10.2015 06:20;68%;07:40;:);Drank tea:Worked out;65;0
15.10.2015 22:12;16.10.2015 06:21;67%;08:08;:);Drank coffee:Drank tea:Worked out;58;0
17.10.2015 00:45;17.10.2015 07:37;57%;06:51;:);Drank coffee:Drank tea;;0
18.10.2015 21:52;19.10.2015 06:20;67%;08:27;:|;Drank coffee;;0
20.10.2015 21:38;21.10.2015 06:20;88%;08:42;:|;Drank coffee:Drank tea;62;0
21.10.2015 22:41;22.10.2015 06:20;77%;07:39;:);Drank coffee:Drank tea;53;0
