04.04.2015;23:13:00;Sunday;05.04.2015;07:31:00;95%;08:17;:);Drank coffee:Drank tea;;0
06.04.2015;21:22:00;Monday;07.04.2015;06:15:00;79%;08:53;:);Drank coffee:Drank tea;55;0
07.04.2015;21:17:00;Tuesday;08.04.2015;06:18:00;100%;09:01;:);Drank tea;51;0
08.04.2015;22:09:00;Wednesday;09.04.2015;05:02:00;81%;06:52;:);Drank tea;52;0
09.04.2015;21:56:00;Thursday;10.04.2015;05:23:00;80%;07:27;:);Drank coffee:Drank tea:Worked out;;0
10.04.2015;23:51:00;Friday;11.04.2015;07:41:00;85%;07:50;:);Drank tea:Worked out;;0
11.04.2015;23:16:00;Saturday;12.04.2015;06:53:00;97%;07:36;:);Drank coffee:Drank tea;52;0
12.04.2015;22:04:00;Sunday;13.04.2015;05:41:00;84%;07:36;:);Drank coffee:Drank tea;58;0
13.04.2015;22:19:00;Monday;14.04.2015;05:45:00;78%;07:25;:);Drank tea:Worked out;57;0
15.04.2015;00:28:00;Tuesday;15.04.2015;07:30:00;81%;07:01;:);Drank coffee:Drank tea:Worked out;63;0
16.04.2015;23:20:00;Wednesday;17.04.2015;06:20:00;82%;06:59;:);Drank coffee:Drank tea;58;0
17.04.2015;23:50:00;Thursday;18.04.2015;07:22:00;59%;07:32;:);Drank coffee:Drank tea:Stressful day:Worked out;53;0
20.04.2015;22:37:00;Friday;21.04.2015;06:18:00;77%;07:40;:);Drank coffee:Drank tea;58;0
22.04.2015;21:31:00;Saturday;23.04.2015;05:11:00;77%;07:39;:);Drank coffee:Drank tea:Stressful day;67;0
23.04.2015;21:46:00;Sunday;24.04.2015;05:13:00;87%;07:26;:);Drank coffee:Drank tea:Stressful day:Worked out;;0
25.04.2015;22:53:00;Monday;26.04.2015;07:53:00;100%;09:00;:);Drank coffee:Drank tea;61;0
26.04.2015;21:51:00;Tuesday;27.04.2015;04:59:00;70%;07:07;:);Ate late:Drank coffee:Drank tea;64;0
27.04.2015;21:35:00;Wednesday;28.04.2015;04:57:00;77%;07:21;:);Drank tea:Worked out;59;0
28.04.2015;21:41:00;Thursday;29.04.2015;05:00:00;53%;07:18;:);Drank coffee:Worked out;59;0
30.04.2015;23:13:00;Friday;01.05.2015;06:06:00;77%;06:52;:);Drank coffee:Drank tea:Stressful day;60;0
01.05.2015;22:20:00;Saturday;02.05.2015;06:07:00;65%;07:46;:);Drank coffee:Worked out;91;0
05.05.2015;22:23:00;Sunday;06.05.2015;06:18:00;83%;07:54;:);Drank coffee:Drank tea:Worked out;62;0
06.05.2015;21:47:00;Monday;07.05.2015;05:21:00;50%;07:34;:);Ate late:Drank coffee:Drank tea:Worked out;59;0
07.05.2015;21:22:00;Tuesday;08.05.2015;04:57:00;89%;07:34;:);Drank tea:Worked out;54;0
09.05.2015;01:58:00;Wednesday;09.05.2015;07:01:00;61%;05:03;:);Drank coffee:Drank tea:Stressful day:Worked out;75;0
10.05.2015;22:11:00;Thursday;11.05.2015;05:00:00;66%;06:48;:);Drank coffee:Drank tea:Worked out;50;0
11.05.2015;21:57:00;Friday;12.05.2015;05:00:00;75%;07:03;:);Drank tea:Worked out;55;0
12.05.2015;22:04:00;Saturday;13.05.2015;04:52:00;72%;06:47;:);Drank tea:Worked out;59;0
14.05.2015;22:49:00;Sunday;15.05.2015;06:17:00;79%;07:28;:);Drank coffee:Drank tea;51;0
17.05.2015;21:03:00;Monday;18.05.2015;07:49:00;93%;10:46;:);Drank tea:Stressful day;59;0
18.05.2015;22:39:00;Tuesday;19.05.2015;06:20:00;91%;07:41;:);;59;0
20.05.2015;22:22:00;Wednesday;21.05.2015;05:25:00;59%;07:02;:);Drank tea:Worked out;62;0
21.05.2015;22:47:00;Thursday;22.05.2015;05:25:00;74%;06:38;:);Drank coffee:Drank tea:Worked out;60;0
24.05.2015;00:01:00;Friday;24.05.2015;07:35:00;73%;07:33;:);Drank coffee:Worked out;;0
24.05.2015;22:58:00;Saturday;25.05.2015;06:45:00;67%;07:47;:);Drank coffee:Drank tea;61;0
25.05.2015;22:05:00;Sunday;26.05.2015;05:29:00;85%;07:23;:);Drank coffee:Drank tea;;0
26.05.2015;22:18:00;Monday;27.05.2015;05:14:00;69%;06:56;:);Drank coffee:Drank tea:Worked out;;0
28.05.2015;23:10:00;Tuesday;29.05.2015;07:00:00;81%;07:49;:);Drank coffee:Drank tea:Worked out;52;0
31.05.2015;23:16:00;Wednesday;01.06.2015;06:20:00;72%;07:03;:);Drank coffee;76;0
01.06.2015;22:20:00;Thursday;02.06.2015;06:19:00;76%;07:59;:);Drank coffee:Drank tea:Worked out;57;0
03.06.2015;22:19:00;Friday;04.06.2015;05:20:00;78%;07:00;:);Drank coffee:Drank tea;64;0
04.06.2015;22:20:00;Saturday;05.06.2015;03:45:00;70%;05:25;:(;Drank coffee:Drank tea:Worked out;;0
05.06.2015;03:45:00;Sunday;05.06.2015;05:41:00;23%;01:55;:);;57;0
07.06.2015;22:01:00;Monday;08.06.2015;05:40:00;75%;07:39;:);Drank coffee;58;0
08.06.2015;21:57:00;Tuesday;09.06.2015;05:16:00;69%;07:19;:);Drank coffee:Drank tea:Worked out;;0
09.06.2015;21:07:00;Wednesday;10.06.2015;05:01:00;83%;07:54;:);Drank coffee:Drank tea:Worked out;;0
10.06.2015;21:12:00;Thursday;11.06.2015;06:17:00;92%;09:04;:);Drank tea:Stressful day:Worked out;68;0
11.06.2015;22:54:00;Friday;12.06.2015;06:19:00;74%;07:25;:);Drank coffee:Worked out;;0
14.06.2015;22:38:00;Saturday;15.06.2015;06:12:00;81%;07:34;:);Drank coffee:Drank tea;;0
15.06.2015;22:31:00;Sunday;16.06.2015;06:20:00;88%;07:48;:);Drank coffee:Drank tea:Worked out;64;0
16.06.2015;22:21:00;Monday;17.06.2015;06:20:00;69%;07:59;:);Drank coffee:Drank tea:Stressful day:Worked out;;0
17.06.2015;21:28:00;Tuesday;18.06.2015;05:00:00;63%;07:31;:);Drank coffee;;0
18.06.2015;22:26:00;Wednesday;19.06.2015;04:46:00;71%;06:20;:);Drank coffee:Worked out;;0
22.06.2015;21:54:00;Thursday;23.06.2015;05:07:00;78%;07:13;:);Drank coffee:Worked out;;0
23.06.2015;22:09:00;Friday;24.06.2015;04:57:00;76%;06:48;:);Drank coffee:Drank tea:Worked out;;0
24.06.2015;04:58:00;Saturday;24.06.2015;05:45:00;10%;00:46;:);;;0
24.06.2015;22:37:00;Sunday;25.06.2015;06:20:00;82%;07:43;:);Drank coffee:Stressful day:Worked out;58;0
11.07.2015;22:29:00;Monday;12.07.2015;08:00:00;98%;09:31;:);Drank coffee:Stressful day;69;0
19.07.2015;21:38:00;Tuesday;20.07.2015;06:09:00;69%;08:31;:);Drank coffee;74;0
20.07.2015;22:01:00;Wednesday;21.07.2015;05:04:00;68%;07:03;:);Drank coffee:Drank tea:Worked out;;0
21.07.2015;22:02:00;Thursday;22.07.2015;05:45:00;79%;07:42;:);Drank coffee:Drank tea:Worked out;67;0
23.07.2015;22:29:00;Friday;24.07.2015;06:44:00;86%;08:14;:);Drank coffee:Stressful day:Worked out;;0
26.07.2015;22:29:00;Saturday;27.07.2015;06:20:00;93%;07:50;:);Drank coffee:Worked out;58;0
28.07.2015;21:32:00;Sunday;29.07.2015;05:39:00;68%;08:07;:);Drank coffee:Drank tea:Stressful day:Worked out;58;0
29.07.2015;23:06:00;Monday;30.07.2015;05:40:00;71%;06:34;:);Drank coffee:Drank tea:Worked out;61;0
30.07.2015;21:40:00;Tuesday;31.07.2015;05:40:00;88%;08:00;:);Drank coffee:Worked out;64;0
01.08.2015;01:41:00;Wednesday;01.08.2015;08:31:00;77%;06:49;:);Drank coffee:Drank tea:Worked out;64;0
01.08.2015;22:55:00;Thursday;02.08.2015;08:02:00;97%;09:06;:);Drank coffee:Worked out;;0
02.08.2015;23:45:00;Friday;03.08.2015;00:00:00;3%;00:15;:|;Drank coffee:Worked out;;0
03.08.2015;00:26:00;Saturday;03.08.2015;07:25:00;88%;06:59;:);Drank coffee:Worked out;68;0
03.08.2015;21:46:00;Sunday;04.08.2015;05:00:00;71%;07:14;:);Drank coffee:Stressful day:Worked out;;0
04.08.2015;21:17:00;Monday;05.08.2015;04:55:00;81%;07:38;:);Drank coffee:Drank tea:Worked out;;0
05.08.2015;21:35:00;Tuesday;06.08.2015;04:55:00;78%;07:19;:);Drank coffee:Drank tea:Worked out;57;0
08.08.2015;00:19:00;Wednesday;08.08.2015;07:56:00;97%;07:37;:);Drank coffee:Worked out;54;0
10.08.2015;00:01:00;Thursday;10.08.2015;05:03:00;65%;05:02;:);Drank coffee;;0
10.08.2015;21:11:00;Friday;11.08.2015;06:09:00;72%;08:58;:);Drank coffee:Drank tea:Worked out;50;0
15.08.2015;23:41:00;Saturday;16.08.2015;07:27:00;84%;07:46;:);Drank coffee;;0
16.08.2015;21:44:00;Sunday;17.08.2015;04:45:00;58%;07:00;:);Drank coffee;56;0
17.08.2015;22:13:00;Monday;18.08.2015;05:27:00;85%;07:14;:);Drank coffee:Drank tea:Worked out;;0
18.08.2015;22:33:00;Tuesday;19.08.2015;06:45:00;90%;08:12;:);Drank coffee:Drank tea:Worked out;57;0
19.08.2015;21:48:00;Wednesday;20.08.2015;06:01:00;79%;08:12;:);Drank coffee:Worked out;51;0
20.08.2015;22:36:00;Thursday;21.08.2015;06:00:00;69%;07:23;:);Drank coffee;58;0
21.08.2015;21:52:00;Friday;22.08.2015;06:00:00;88%;08:07;:);Drank coffee:Stressful day;;0
22.08.2015;21:59:00;Saturday;23.08.2015;05:49:00;90%;07:49;:);Drank coffee;52;0
23.08.2015;21:59:00;Sunday;24.08.2015;05:29:00;83%;07:30;:);Ate late:Drank coffee:Drank tea;52;0
25.08.2015;21:57:00;Monday;26.08.2015;05:45:00;67%;07:48;:);Drank coffee;;0
